Excavation Siglum;Excavation Numbers;Description;Object Type;Museum Number;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size
RS;['[Varia2]', 'No.21'];Seal;Seal;AO 27.927;;;;;;;
RS;['1-11.[124]', 'No.546'];;Seal;;;;;;;;
RS;['14.275'];Vessel (Rhyton);Vessel;;;;;;;;
RS;['15.148', '15.242'];Vessel;Vessel;;;;;;;;
RS;['15.195'];Vessel (une jarre ? panse globulaire avec deux anses-tenons);Vessel;;;;;;;;
RS;['15.237', '15.149'];Mycenean vessel;Vessel;;;;;;;;
RS;['15.249'];Vessel (Vase de Niqmaddu);Vessel;;;;;;;;
RS;['15.258'];Vessel;Vessel;;;;;;;;
RS;['16.052'];Vessel (Goblet in the form of a lion head);Vessel;;;;;;;;
RS;['16.404'];Vessel (Horn in carved ivory);Vessel;;;;;;;;
RS;['20.345'];Vessel;Vessel;;;;;;;;
RS;['2002.500.10'];Vessel;Vessel;;;;;;;;
RS;['2002.500.2a'];Vessel;Vessel;;;;;;;;
RS;['2002.500.2b'];Vessel;Vessel;;;;;;;;
RS;['2002.500.3'];Vessel;Vessel;;;;;;;;
RS;['2002.500.4'];Vessel;Vessel;;;;;;;;
RS;['2002.500.5'];Vessel;Vessel;;;;;;;;
RS;['2002.500.6'];Vessel;Vessel;;;;;;;;
RS;['2002.500.7'];Vessel;Vessel;;;;;;;;
RS;['2002.500.9'];Vessel;Vessel;;;;;;;;
RS;['2002.502.12'];Vessel;Vessel;;;;;;;;
RS;['2002.502.3'];Vessel;Vessel;;;;;;;;
RS;['2008.1003'];Vessel;Vessel;;;;;;;;
RS;['2008.1004'];Vessel;Vessel;;;;;;;;
RS;['2008.1009'];Vessel;Vessel;;;;;;;;
RS;['2008.1012'];Vessel;Vessel;;;;;;;;
RS;['2008.1013'];Vessel;Vessel;;;;;;;;
RS;['2008.1018'];Vessel;Vessel;;;;;;;;
RS;['2008.1020'];Vessel;Vessel;;;;;;;;
RS;['2008.1023'];Vessel;Vessel;;;;;;;;
RS;['2008.1028'];Vessel;Vessel;;;;;;;;
RS;['No.440', '1-11.[123]'];;Seal;;;;;;;;
