,,Akkadian,Akkadian;Hittite,Akkadian;Hurrian,Akkadian;Sumerian,Akkadian;Sumerian;Hittite,Akkadian;Sumerian;Hurrian,Cypro-Minoan,Egyptian,Hittite,Hurrian,Latin,Phoenician,Sumerian,Ugaritic,Ugaritic;Akkadian,Ugaritic;Akkadian;Sumerian,Ugaritic;Akkadian;Sumerian;Hurrian,Ugaritic;Hittite,Ugaritic;Hurrian,Ugaritic;Sumerian,unknown/unassigned,total
Other/unknown,0,179,0,1,33,0,2,5,71,8,6,0,0,37,326,10,1,0,1,0,0,55,0
House of Urtenu,1,480,0,0,8,0,1,2,1,1,0,0,0,15,104,15,0,0,0,0,0,55,683
House of the High Priest,0,8,0,0,3,0,0,1,5,0,17,0,0,14,101,0,0,0,0,0,0,2,151
Royal Palace,0,548,1,1,8,0,0,0,16,3,67,0,0,1,986,22,0,0,0,0,0,36,1689
House of Rašapabu,0,15,0,0,2,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,26
Literate’s House,0,8,0,0,2,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,27
House of Rapanu,0,239,0,0,44,0,0,2,1,0,2,0,0,162,22,1,0,7,0,0,1,10,491
Between Royal Palace and South Palace,0,34,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,0,0,0,0,2,51
House of Yabninu,0,93,0,0,0,0,0,4,3,0,0,0,0,0,33,3,0,0,0,0,0,5,141
House of the Literary Tablets,0,34,1,0,16,0,0,0,1,0,0,0,0,32,13,0,0,0,0,0,1,0,98
House of the Hurrian Priest,0,8,0,0,0,0,0,0,0,0,6,0,0,1,140,0,0,0,0,5,0,7,167
Lamaštu,0,46,0,0,34,1,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,5,104
