RS;archive/general area;detail in general;loc;pt;depth;script;genre;date;scribe;origin;bibliography;museal sig;col
24.313;House of the Hurrian Priest;;PH10 fosse;3772;3.10;;liv;;;u;U6.114;D 6642;
24.314;House of the Hurrian Priest;;PH10 fosse;3772;3.20;;liv;;;u;U6.114;D 6643;
24.316;House of the Hurrian Priest;;PH10 fosse;3751;3.00;;liv;;;u;U6,112-;D 6645;
24.317;House of the Hurrian Priest;;PH10 fosse;3751;2.90;;liv;;;u;U6,112-;D 6646;
24.318;House of the Hurrian Priest;;PH10 fosse;3751;;;liv;;;u;U6,112-;D 6647;
24.320;House of the Hurrian Priest;;PH10 fosse;3772;3.20;;liv;;;u;U6,114;D 6649;
24.322;House of the Hurrian Priest;;PH10 fosse;3781;3.30;;liv;;;u;U6,114;D 6651;
24.324;House of the Hurrian Priest;;PH10 fosse;3781;;;liv;;;u;U6,114;D 6653;
24.325;House of the Hurrian Priest;;PH10 fosse;3687;1.40;;liv;;;u;U6.114;[D 6654];
24.392;House of the Hurrian Priest;;PH10 fosse;3781;3.55;;liv;;;u;U6,Hó;D 6658;
24.310;House of the Hurrian Priest;;PH10;3687;1.20;;liv;;;u;U6.102;D 6639;
24.311;House of the Hurrian Priest;;PH10;3687;;;liv;;;u;U6.103;D 6640;
24.315;House of the Hurrian Priest;;PH10;3745;0.80;;liv;;;u;U6,104;D 6644;
24.319;House of the Hurrian Priest;;PH10;3694;1.30;;liv;;;u;U6,103;D 6648;
24.321;House of the Hurrian Priest;;PH10;3701;1.50;;liv;;;u;U6,105;D 6650;
24.393;House of the Hurrian Priest;;PH10;3759;1.10;;liv;;;u;;;
